IES;codigo;academia;investigacion;infraestructura;organizacion;eficiencia_academica;oferta;mantenimiento;CA08;CA05;CA03;CA01;CA02;CA07;CA09;CA10;region
UNIVERSIDAD SAN FRANCISCO DE QUITO;1038;0,2708;0,1444;0,1908;0,088;0,052;Pregrado & Posgrado;Privada;SI;SI;SI;SI;SI;SI;SI;SI;Sierra
ESCUELA POLITECNICA NACIONAL;1001;0,2744;0,1198;0,1268;0,082;0,064;Pregrado & Posgrado;Publica;SI;SI;SI;SI;NO;SI;NO;SI;Sierra
ESCUELA SUPERIOR POLITECNICA DEL LITORAL;1021;0,2504;0,0614;0,171;0,075;0,039;Pregrado & Posgrado;Publica;SI;SI;SI;SI;SI;SI;SI;SI;Costa
UNIVERSIDAD TECNOLOGICA INDOAMERICA;1045;0,1676;0,0786;0,1596;0,088;0,081;Pregrado & Posgrado;Privada;NO;SI;SI;SI;NO;SI;SI;NO;Sierra
UNIVERSIDAD DEL AZUAY;1033;0,218;0,0334;0,1552;0,076;0,072;Pregrado & Posgrado;Cofinanciada;SI;SI;SI;SI;SI;SI;SI;SI;Sierra
UNIVERSIDAD CATOLICA DE SANTIAGO DE GUAYAQUIL;1028;0,1672;0,0598;0,1584;0,076;0,075;Pregrado & Posgrado;Cofinanciada;SI;SI;SI;SI;SI;SI;SI;NO;Costa
UNIVERSIDAD ESTATAL DE MILAGRO;1024;0,204;0,0024;0,1678;0,073;0,073;Pregrado & Posgrado;Publica;NO;SI;SI;SI;SI;SI;SI;SI;Costa
UNIVERSIDAD PARTICULAR INTERNACIONAL SEK;1036;0,206;0,0078;0,1472;0,085;0,074;Pregrado & Posgrado;Privada;NO;SI;SI;SI;SI;SI;SI;SI;Sierra
UNIVERSIDAD CASA GRANDE;1049;0,218;0,015;0,1702;0,058;0,053;Pregrado & Posgrado;Privada;NO;NO;SI;SI;SI;NO;SI;NO;Costa
UNIVERSIDAD TECNOLOGICA EQUINOCCIAL;1032;0,222;0,034;0,126;0,065;0,064;Pregrado & Posgrado;Cofinanciada;SI;SI;SI;SI;SI;SI;SI;SI;Sierra
UNIVERSIDAD TECNICA ESTATAL DE QUEVEDO;1014;0,1708;0,0262;0,1416;0,086;0,068;Pregrado & Posgrado;Publica;SI;SI;SI;SI;SI;SI;SI;SI;Costa
UNIVERSIDAD DE CUENCA;1007;0,2152;0,0628;0,1238;0,051;0,026;Pregrado & Posgrado;Publica;SI;SI;SI;SI;SI;SI;SI;SI;Sierra
UNIVERSIDAD TECNICA DEL NORTE;1015;0,1696;0,0196;0,1342;0,075;0,077;Pregrado & Posgrado;Publica;SI;SI;SI;SI;SI;SI;SI;SI;Sierra
UNIVERSIDAD TECNOLOGICA EMPRESARIAL DE GUAYAQUIL;1050;0,1748;0,0166;0,164;0,062;0,052;Pregrado & Posgrado;Privada;NO;SI;SI;SI;NO;SI;NO;SI;Costa
UNIVERSIDAD NACIONAL DE LOJA;1008;0,184;0,0274;0,1304;0,059;0,067;Pregrado & Posgrado;Publica;SI;SI;SI;SI;SI;SI;SI;SI;Sierra
