"C.digo";"Nombre";"Formaci.n.posgrado";"Posgrado.en.formaci.n";"Doctores.TC";"Estudiantes.por.docente.TC";"Horas.clase.TC";"Porcentaje.de.profesores.TC";"Horas.clase.MT.TP";"Titularidad";"Titularidad.TC";"Concurso";"Escalaf.n";"Evaluaci.n";"Remuneraci.n.TC";"Remuneraci.n.MT.TP";"Direcci.n.mujeres";"Docencia.mujeres";"Eficiencia.terminal.posgrado";"Eficiencia.terminal.pregrado";"Tasa.de.retenci.n.inicial.pregrado";"Admisi.n.a.estudios.de.pregrado";"Admisi.n.a.estudios.de.posgrado";"Planificaci.n.de.la.investigaci.n";"Investigaci.n.regional";"Producci.n.cient.fica";"Libros.revisados.por.pares";"Uso.del.seguimiento.a.graduados";"Programas.de.vinculaci.n";"Presupuesto.de.programas.de.vinculaci.n";"Rendici.n.anual.de.cuentas";"Transparencia.financiera";"X.tica.y.responsabilidad";"Calidad.del.gasto";"Informaci.n.para.la.evaluaci.n";"R.gimen.acad.mico";"Acci.n.afirmativa";"Espacio.para.estudiantes";"T.tulos.de.libros";"Gesti.n.de.biblioteca";"Consultas.por.usuario";"Conectividad";"Innovaci.n.tecnol.gica";"Cobertura.a.estudiantes";"Calidad.de.aulas";"Oficinas.TC";"Oficinas.MT.TP";"Espacios.de.bienestar";"oferta";"mantenimiento";"INSTITUCION";"CA08";"CA05";"CA03";"CA01";"CA02";"CA07";"CA09";"CA10";"region";"Academia";"Organizacion";"Investigacion";"Infraestructura";"Eficiencia";"factor_ponderacion";"valoracion";"nueva_valoracion";"ctgr"
1001;"ESCUELA POLITECNICA NACIONAL";33,36617406;0,04368932;15,05199781;23,39044944;15,13466838;50,76869639;9,340820851;72,57799672;97,75280899;63,63636364;"ALTO";"MEDIO";3876,908151;25,66058335;7,843137255;9,954751131;2,43902439;12,91291291;64,06727829;"ALTO";"ALTO";"ALTO";0,212096333;0,81078614;0,008210181;"ALTO";0,024390244;7,287227277;"ALTO";"ALTO";"ALTO";0,387293425;"ALTO";"ALTO";"ALTO";45,50273224;2,619190585;"MEDIO";41,02443539;104,6300616;"ALTO";100;95,96774194;1,477178423;20;"ALTO";"Pregrado & Posgrado";"P<fa>blica";"ESCUELA POLITECNICA NACIONAL";"SI";"SI";"SI";"SI";"NO";"SI";"NO";"SI";"Sierra";0,686;0,604;0,634;0,819;0,643;0,01219246;0,668;0,676144563;"A"
1002;"ESCUELA SUPERIOR POLITECNICA DE CHIMBORAZO";19,54901961;0,039097744;0,980392157;25,6189781;18,13070686;22,48292913;13,87770389;36,96078431;51,97080292;75;"ALTO";"MEDIO";2255,845589;7,810753769;9,615384615;19,36339523;77,08333333;21,24269782;26,95271818;"ALTO";"ALTO";"MEDIO";0,019607843;0,010611797;0,013071895;"MEDIO";0,171428571;1,475989038;"MEDIO";"MEDIO";"MEDIO";0,405797127;"MEDIO";"ALTO";"MEDIO";25,17916042;1,629700199;"ALTO";16,11628788;33,27926373;"ALTO";21,96969697;88,65030675;13,7;2,133757962;"ALTO";"Pregrado & Posgrado";"P<fa>blica";"ESCUELA SUPERIOR POLITECNICA DE CHIMBORAZO";"SI";"SI";"SI";"SI";"SI";"SI";"SI";"SI";"Sierra";0,394;0,117;0,623;0,556;0,682;0,058213711;0,43;0,455031896;"B"
1003;"ESCUELA SUPERIOR POLITECNICA AGROPECUARIA DE MANABI";30,85106383;0,014925373;7,978723404;37,98039216;14,82820939;85,48387097;15,43793412;37,76595745;84,31372549;0;"BAJO";"ALTO";2704,417845;19,6827753;11,76470588;26,76056338;0;9,77443609;71,06382979;"MEDIO";"BAJO";"BAJO";0,053191489;0;0;"MEDIO";0;0,021746718;"MEDIO";"MEDIO";"BAJO";0,750342006;"BAJO";"MEDIO";"BAJO";12,10625;1,767681982;"ALTO";0,176029963;158,7684811;"MEDIO";100;100;0,76119403;4,151515152;"ALTO";"Pregrado & Posgrado";"P<fa>blica";"ESCUELA SUPERIOR POLITECNICA AGROPECUARIA DE MANABI";"SI";"SI";"SI";"SI";"NO";"SI";"SI";"SI";"Costa";0,562;0,001;0,808;0,193;0,386;0,003553001;0,444;0,445577533;"C"
1005;"UNIVERSIDAD CENTRAL DEL ECUADOR";22,9004329;0,002321083;0,721500722;72,88783784;14,6859907;45,7003778;9,367260865;61,51515152;96,21621622;12,70718232;"ALTO";"MEDIO";2961,40417;42,79928989;2,608695652;16,18578466;8,695652174;5,076347457;44,88415356;"ALTO";"MEDIO";"BAJO";0;0,073529048;0;"MEDIO";0;0,542010813;"MEDIO";"ALTO";"ALTO";0,60413729;"BAJO";"MEDIO";"MEDIO";54,84354839;3,257021103;"MEDIO";31,64837556;15,88552958;"ALTO";50,53763441;76,75879397;2,26993865;12,93333333;"MEDIO";"Pregrado & Posgrado";"P<fa>blica";"UNIVERSIDAD CENTRAL DEL ECUADOR";"SI";"SI";"SI";"SI";"SI";"SI";"SI";"SI";"Sierra";0,556;0,101;0,37;0,406;0,525;0,143380156;0,41;0,468785864;"B"
1006;"UNIVERSIDAD DE GUAYAQUIL";14,74585951;0;0,095183705;623,6831683;3,692321469;25,95017566;10,57901949;25,95659623;11,88118812;0;"MEDIO";"MEDIO";2024,59881;65,61000272;4,651162791;7,700770077;0;0;12,64622678;"BAJO";"MEDIO";"MEDIO";0;0,006056311;0;"BAJO";0;0;"MEDIO";"MEDIO";"MEDIO";1,061828629;"BAJO";"MEDIO";"BAJO";38,34057032;0,231820671;"BAJO";2,694553332;11,34354209;"ALTO";73,33333333;82,74253731;0,512690355;61,83636364;"MEDIO";"Pregrado & Posgrado";"P<fa>blica";"UNIVERSIDAD DE GUAYAQUIL";"SI";"SI";"SI";"SI";"SI";"SI";"SI";"SI";"Costa";0,264;0,084;0,446;0,178;0,138;0,199944117;0,243;0,29158642;"D"
1007;"UNIVERSIDAD DE CUENCA";20,29605263;0,028;2,467105263;34,94305239;10,7821615;31,28505646;9,185386829;48,19078947;51,02505695;63,15789474;"ALTO";"MEDIO";2693,337333;35,89892034;20;32,25255973;12,5;19,85189405;79,63748554;"MEDIO";"BAJO";"MEDIO";0,050712719;0,216685554;0;"BAJO";0,019230769;0,703377254;"MEDIO";"ALTO";"MEDIO";0,333270005;"MEDIO";"ALTO";"BAJO";24,78688525;3,15542328;"ALTO";113,5628643;49,37469547;"ALTO";61,40350877;81,79775281;2,310526316;7,4;"ALTO";"Pregrado & Posgrado";"P<fa>blica";"UNIVERSIDAD DE CUENCA";"SI";"SI";"SI";"SI";"SI";"SI";"SI";"SI";"Sierra";0,538;0,332;0,619;0,514;0,262;0,041765747;0,483;0,503172856;"B"
1008;"UNIVERSIDAD NACIONAL DE LOJA";23,4264432;0,006008584;2,172563625;32,55245902;18,73657905;47,85827604;21,26637858;56,61080074;94,42622951;0;"ALTO";"ALTO";1951,526039;20,89241518;0;24,01315789;7,258064516;12,74151436;69,46808511;"ALTO";"ALTO";"MEDIO";0,010862818;0,035775357;0,021725636;"ALTO";0,328125;6,073338209;"MEDIO";"MEDIO";"MEDIO";0,689627714;"MEDIO";"ALTO";"ALTO";24,18530997;3,289480718;"ALTO";48,90796831;43,93917336;"MEDIO";61,11111111;85,67901235;1,105072464;1,131707317;"MEDIO";"Pregrado & Posgrado";"P<fa>blica";"UNIVERSIDAD NACIONAL DE LOJA";"SI";"SI";"SI";"SI";"SI";"SI";"SI";"SI";"Sierra";0,46;0,157;0,676;0,593;0,666;0,014822343;0,477;0,484070257;"B"
1009;"UNIVERSIDAD TECNICA DE MANABI";22,28460794;0,014957265;1,12939658;44,67283951;17,68236174;23,83844418;13,98021046;59,43852856;62,03703704;10,61151079;"BAJO";"ALTO";1816,031936;13,91819415;36,36363636;31,9218241;0;27,44536941;45,6863809;"ALTO";"ALTO";"BAJO";0,014520813;0;0;"MEDIO";3,027777778;0,398177756;"MEDIO";"ALTO";"ALTO";0,763402075;"MEDIO";"ALTO";"ALTO";15,46401309;1,391206234;"ALTO";13,65200159;43,63923752;"ALTO";97,56097561;86,94362018;2,29787234;4,889655172;"ALTO";"Pregrado";"P<fa>blica";"UNIVERSIDAD TECNICA DE MANABI";"SI";"SI";"SI";"SI";"NO";"SI";"SI";"NO";"Costa";0,337;0,592;0;0,625;0,86;0,036330249;0,433;0,448730998;"C"
1010;"UNIVERSIDAD TECNICA DE AMBATO";23,25290438;0,039839034;2,085195115;48,61363636;16,34131505;27,26487222;12,00863563;20,82216265;16,23376623;0;"ALTO";"ALTO";2166,419135;8,446646031;8,333333333;16,30901288;8,43373494;20,92688543;69,01015734;"ALTO";"MEDIO";"MEDIO";0,095323205;0,008199702;0,007447125;"ALTO";0,076923077;3,426478438;"ALTO";"ALTO";"MEDIO";0,323793188;"MEDIO";"ALTO";"MEDIO";19,47411444;4,352805373;"MEDIO";196,481312;122,5777034;"ALTO";83,87096774;99,6031746;1,801169591;1,448214286;"MEDIO";"Pregrado & Posgrado";"P<fa>blica";"UNIVERSIDAD TECNICA DE AMBATO";"SI";"SI";"SI";"SI";"SI";"SI";"SI";"SI";"Sierra";0,373;0,099;0,675;0,715;0,648;0,039392122;0,44;0,457332534;"B"
1011;"UNIVERSIDAD TECNICA DE MACHALA";17,34664765;0,0225;0,237755587;30,32278481;18,83764617;33,42997142;14,73833425;0;0;0;"MEDIO";"MEDIO";2091,11105;12,07263759;4,6875;0;0;4,910063199;64,26285996;"MEDIO";"BAJO";"BAJO";0;0,100627318;0;"MEDIO";0;0,07017671;"BAJO";"MEDIO";"BAJO";0,578736538;"MEDIO";"BAJO";"BAJO";36,47429907;1,135438686;"MEDIO";20,36581797;21,21993928;"ALTO";0;31,25;6,26984127;4,567164179;"MEDIO";"Pregrado & Posgrado";"P<fa>blica";"UNIVERSIDAD TECNICA DE MACHALA";"SI";"SI";"SI";"SI";"SI";"SI";"SI";"SI";"Costa";0,315;0,121;0,362;0,199;0,356;0,023746252;0,278;0,284601458;"D"
